Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-10-16 00:00:00,Netherlands,Netherlands,NL,296.80,374.07,48.07,43.39,Electricity Maps Estimation
2023-10-17 00:00:00,Netherlands,Netherlands,NL,185.40,241.99,65.63,60.50,Electricity Maps Estimation
2023-10-18 00:00:00,Netherlands,Netherlands,NL,83.93,118.52,85.03,80.36,Electricity Maps Estimation
2023-10-19 00:00:00,Netherlands,Netherlands,NL,145.20,192.12,74.39,69.04,Electricity Maps Estimation
2023-10-20 00:00:00,Netherlands,Netherlands,NL,113.37,153.17,80.70,76.54,Electricity Maps Estimation
2023-10-21 00:00:00,Netherlands,Netherlands,NL,74.34,107.08,86.39,79.46,Electricity Maps Estimation
2023-10-22 00:00:00,Netherlands,Netherlands,NL,153.61,201.38,74.26,69.74,Electricity Maps Estimation
2023-10-23 00:00:00,Netherlands,Netherlands,NL,262.21,332.59,52.86,48.74,Electricity Maps Estimation
2023-10-24 00:00:00,Netherlands,Netherlands,NL,207.50,266.12,63.01,59.64,Electricity Maps Estimation
2023-10-25 00:00:00,Netherlands,Netherlands,NL,296.83,371.07,49.59,45.95,Electricity Maps Estimation
2023-10-26 00:00:00,Netherlands,Netherlands,NL,307.70,385.83,46.13,41.53,Electricity Maps Estimation
2023-10-27 00:00:00,Netherlands,Netherlands,NL,277.66,350.47,51.41,46.37,Electricity Maps Estimation
2023-10-28 00:00:00,Netherlands,Netherlands,NL,100.25,138.21,81.50,73.48,Electricity Maps Estimation
2023-10-29 00:00:00,Netherlands,Netherlands,NL,67.19,97.91,87.65,82.32,Electricity Maps Estimation
2023-10-30 00:00:00,Netherlands,Netherlands,NL,217.94,280.38,59.64,55.20,Electricity Maps Estimation
2023-10-31 00:00:00,Netherlands,Netherlands,NL,258.11,324.97,56.30,51.17,Electricity Maps Estimation
2023-11-01 00:00:00,Netherlands,Netherlands,NL,88.84,123.96,84.02,74.11,Electricity Maps Estimation
2023-11-02 00:00:00,Netherlands,Netherlands,NL,99.05,135.59,82.64,78.16,Electricity Maps Estimation
2023-11-03 00:00:00,Netherlands,Netherlands,NL,77.23,109.85,86.11,81.56,Electricity Maps Estimation
2023-11-04 00:00:00,Netherlands,Netherlands,NL,83.82,117.86,85.71,80.89,Electricity Maps Estimation
2023-11-05 00:00:00,Netherlands,Netherlands,NL,82.15,115.80,85.98,77.59,Electricity Maps Estimation
2023-11-06 00:00:00,Netherlands,Netherlands,NL,113.42,153.23,80.51,77.19,Electricity Maps Estimation
2023-11-07 00:00:00,Netherlands,Netherlands,NL,132.77,176.25,76.92,73.32,Electricity Maps Estimation
2023-11-08 00:00:00,Netherlands,Netherlands,NL,119.92,160.83,79.05,75.63,Electricity Maps Estimation
2023-11-09 00:00:00,Netherlands,Netherlands,NL,165.64,214.46,71.86,68.12,Electricity Maps Estimation
2023-11-10 00:00:00,Netherlands,Netherlands,NL,198.85,254.48,65.79,61.82,Electricity Maps Estimation
2023-11-11 00:00:00,Netherlands,Netherlands,NL,211.56,268.29,65.40,61.07,Electricity Maps Estimation
2023-11-12 00:00:00,Netherlands,Netherlands,NL,303.87,378.13,51.01,43.80,Electricity Maps Estimation
2023-11-13 00:00:00,Netherlands,Netherlands,NL,151.96,199.38,72.86,67.07,Electricity Maps Estimation
2023-11-14 00:00:00,Netherlands,Netherlands,NL,120.88,162.49,77.84,72.48,Electricity Maps Estimation
2023-11-15 00:00:00,Netherlands,Netherlands,NL,166.83,217.45,69.09,64.50,Electricity Maps Estimation
2023-11-16 00:00:00,Netherlands,Netherlands,NL,353.47,434.80,42.16,38.28,Electricity Maps Estimation
2023-11-17 00:00:00,Netherlands,Netherlands,NL,374.33,461.64,36.39,32.16,Electricity Maps Estimation
2023-11-18 00:00:00,Netherlands,Netherlands,NL,147.08,192.74,74.17,67.71,Electricity Maps Estimation
2023-11-19 00:00:00,Netherlands,Netherlands,NL,85.18,118.56,84.59,78.39,Electricity Maps Estimation
2023-11-20 00:00:00,Netherlands,Netherlands,NL,253.52,317.72,56.92,52.24,Electricity Maps Estimation
2023-11-21 00:00:00,Netherlands,Netherlands,NL,320.10,397.00,45.69,41.09,Electricity Maps Estimation
2023-11-22 00:00:00,Netherlands,Netherlands,NL,292.23,363.68,50.97,46.55,Electricity Maps Estimation
2023-11-23 00:00:00,Netherlands,Netherlands,NL,134.79,176.76,77.09,73.88,Electricity Maps Estimation
2023-11-24 00:00:00,Netherlands,Netherlands,NL,132.06,173.46,77.41,74.18,Electricity Maps Estimation
2023-11-25 00:00:00,Netherlands,Netherlands,NL,195.89,247.37,68.57,65.05,Electricity Maps Estimation
2023-11-26 00:00:00,Netherlands,Netherlands,NL,335.53,407.29,50.11,46.15,Electricity Maps Estimation
2023-11-27 00:00:00,Netherlands,Netherlands,NL,279.52,348.33,52.48,49.11,Electricity Maps Estimation
2023-11-28 00:00:00,Netherlands,Netherlands,NL,290.56,361.43,50.13,46.99,Electricity Maps Estimation
2023-11-29 00:00:00,Netherlands,Netherlands,NL,354.28,437.53,38.92,35.64,Electricity Maps Estimation
2023-11-30 00:00:00,Netherlands,Netherlands,NL,392.99,488.01,28.98,24.32,Electricity Maps Estimation
2023-12-01 00:00:00,Netherlands,Netherlands,NL,391.00,481.92,31.98,28.43,Electricity Maps Estimation
2023-12-02 00:00:00,Netherlands,Netherlands,NL,405.01,500.59,27.99,24.58,Electricity Maps Estimation
2023-12-03 00:00:00,Netherlands,Netherlands,NL,272.01,339.25,53.49,51.40,Electricity Maps Estimation
2023-12-04 00:00:00,Netherlands,Netherlands,NL,246.38,311.46,54.74,54.65,Electricity Maps Estimation
2023-12-05 00:00:00,Netherlands,Netherlands,NL,325.12,407.89,39.39,39.19,Electricity Maps Estimation
2023-12-06 00:00:00,Netherlands,Netherlands,NL,328.09,414.62,36.02,35.74,Electricity Maps Estimation
2023-12-07 00:00:00,Netherlands,Netherlands,NL,268.78,343.00,46.90,44.84,Electricity Maps Estimation
2023-12-08 00:00:00,Netherlands,Netherlands,NL,230.65,295.14,56.00,54.66,Electricity Maps Estimation
2023-12-09 00:00:00,Netherlands,Netherlands,NL,82.47,115.16,84.33,79.63,Electricity Maps Estimation
2023-12-10 00:00:00,Netherlands,Netherlands,NL,75.73,106.70,85.88,80.38,Electricity Maps Estimation
2023-12-11 00:00:00,Netherlands,Netherlands,NL,157.57,205.48,70.24,66.47,Electricity Maps Estimation
2023-12-12 00:00:00,Netherlands,Netherlands,NL,277.33,351.97,46.63,42.64,Electricity Maps Estimation
2023-12-13 00:00:00,Netherlands,Netherlands,NL,288.84,365.12,45.38,41.25,Electricity Maps Estimation
2023-12-14 00:00:00,Netherlands,Netherlands,NL,316.45,401.14,37.92,33.09,Electricity Maps Estimation
2023-12-15 00:00:00,Netherlands,Netherlands,NL,277.10,352.21,47.01,43.40,Electricity Maps Estimation
2023-12-16 00:00:00,Netherlands,Netherlands,NL,120.74,161.75,78.00,74.76,Electricity Maps Estimation
2023-12-17 00:00:00,Netherlands,Netherlands,NL,96.86,132.53,82.41,79.30,Electricity Maps Estimation
2023-12-18 00:00:00,Netherlands,Netherlands,NL,115.46,154.94,78.94,76.12,Electricity Maps Estimation
2023-12-19 00:00:00,Netherlands,Netherlands,NL,154.29,203.08,70.66,67.47,Electricity Maps Estimation
2023-12-20 00:00:00,Netherlands,Netherlands,NL,94.47,129.68,82.50,79.58,Electricity Maps Estimation
2023-12-21 00:00:00,Netherlands,Netherlands,NL,68.96,98.87,87.08,83.76,Electricity Maps Estimation
2023-12-22 00:00:00,Netherlands,Netherlands,NL,61.42,89.75,88.67,84.73,Electricity Maps Estimation
2023-12-23 00:00:00,Netherlands,Netherlands,NL,55.19,82.10,89.25,82.29,Electricity Maps Estimation
2023-12-24 00:00:00,Netherlands,Netherlands,NL,46.73,72.04,91.17,86.35,Electricity Maps Estimation
2023-12-25 00:00:00,Netherlands,Netherlands,NL,55.43,82.62,89.81,84.40,Electricity Maps Estimation
2023-12-26 00:00:00,Netherlands,Netherlands,NL,106.49,145.25,81.17,77.85,Electricity Maps Estimation
2023-12-27 00:00:00,Netherlands,Netherlands,NL,85.70,120.25,83.86,75.40,Electricity Maps Estimation
2023-12-28 00:00:00,Netherlands,Netherlands,NL,54.87,81.71,89.69,85.35,Electricity Maps Estimation
2023-12-29 00:00:00,Netherlands,Netherlands,NL,45.20,70.08,92.10,88.01,Electricity Maps Estimation
2023-12-30 00:00:00,Netherlands,Netherlands,NL,49.13,75.20,91.58,84.42,Electricity Maps Estimation
2023-12-31 00:00:00,Netherlands,Netherlands,NL,34.90,57.39,93.52,85.31,Electricity Maps Estimation
