Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-04-09 00:00:00,Netherlands,Netherlands,NL,293.06,373.18,46.07,45.51,Electricity Maps Estimation
2023-04-10 00:00:00,Netherlands,Netherlands,NL,200.16,259.12,63.66,63.35,Electricity Maps Estimation
2023-04-11 00:00:00,Netherlands,Netherlands,NL,233.53,298.85,56.96,56.46,Electricity Maps Estimation
2023-04-12 00:00:00,Netherlands,Netherlands,NL,237.76,303.89,56.44,56.07,Electricity Maps Estimation
2023-04-13 00:00:00,Netherlands,Netherlands,NL,245.27,312.80,54.94,54.85,Electricity Maps Estimation
2023-04-14 00:00:00,Netherlands,Netherlands,NL,327.66,412.78,39.88,39.72,Electricity Maps Estimation
2023-04-15 00:00:00,Netherlands,Netherlands,NL,255.62,325.82,53.13,52.99,Electricity Maps Estimation
2023-04-16 00:00:00,Netherlands,Netherlands,NL,249.65,319.96,54.17,53.75,Electricity Maps Estimation
2023-04-17 00:00:00,Netherlands,Netherlands,NL,283.40,359.43,48.32,47.74,Electricity Maps Estimation
2023-04-18 00:00:00,Netherlands,Netherlands,NL,236.20,302.21,56.82,56.74,Electricity Maps Estimation
2023-04-19 00:00:00,Netherlands,Netherlands,NL,229.78,294.36,57.81,57.70,Electricity Maps Estimation
2023-04-20 00:00:00,Netherlands,Netherlands,NL,226.17,290.56,58.61,58.49,Electricity Maps Estimation
2023-04-21 00:00:00,Netherlands,Netherlands,NL,253.10,323.32,54.53,54.43,Electricity Maps Estimation
2023-04-22 00:00:00,Netherlands,Netherlands,NL,268.28,342.30,53.27,52.92,Electricity Maps Estimation
2023-04-23 00:00:00,Netherlands,Netherlands,NL,239.26,307.01,56.89,55.51,Electricity Maps Estimation
2023-04-24 00:00:00,Netherlands,Netherlands,NL,230.49,295.08,58.54,58.48,Electricity Maps Estimation
2023-04-25 00:00:00,Netherlands,Netherlands,NL,266.40,337.85,52.55,52.49,Electricity Maps Estimation
2023-04-26 00:00:00,Netherlands,Netherlands,NL,328.79,414.43,40.55,40.49,Electricity Maps Estimation
2023-04-27 00:00:00,Netherlands,Netherlands,NL,332.32,418.78,38.88,38.64,Electricity Maps Estimation
2023-04-28 00:00:00,Netherlands,Netherlands,NL,301.58,381.78,44.90,44.74,Electricity Maps Estimation
2023-04-29 00:00:00,Netherlands,Netherlands,NL,281.95,356.90,51.49,50.93,Electricity Maps Estimation
2023-04-30 00:00:00,Netherlands,Netherlands,NL,301.60,381.09,47.81,46.39,Electricity Maps Estimation
2023-05-01 00:00:00,Netherlands,Netherlands,NL,271.29,345.52,53.52,51.21,Electricity Maps Estimation
2023-05-02 00:00:00,Netherlands,Netherlands,NL,277.36,352.88,49.37,47.02,Electricity Maps Estimation
2023-05-03 00:00:00,Netherlands,Netherlands,NL,293.59,372.14,46.11,42.79,Electricity Maps Estimation
2023-05-04 00:00:00,Netherlands,Netherlands,NL,257.73,328.79,52.79,49.85,Electricity Maps Estimation
2023-05-05 00:00:00,Netherlands,Netherlands,NL,268.86,342.27,52.74,49.76,Electricity Maps Estimation
2023-05-06 00:00:00,Netherlands,Netherlands,NL,282.08,358.57,50.62,46.94,Electricity Maps Estimation
2023-05-07 00:00:00,Netherlands,Netherlands,NL,260.54,333.95,54.70,51.22,Electricity Maps Estimation
2023-05-08 00:00:00,Netherlands,Netherlands,NL,278.80,354.82,51.20,47.47,Electricity Maps Estimation
2023-05-09 00:00:00,Netherlands,Netherlands,NL,250.39,319.91,56.24,53.26,Electricity Maps Estimation
2023-05-10 00:00:00,Netherlands,Netherlands,NL,288.64,367.03,47.33,43.85,Electricity Maps Estimation
2023-05-11 00:00:00,Netherlands,Netherlands,NL,314.37,397.74,42.00,39.00,Electricity Maps Estimation
2023-05-12 00:00:00,Netherlands,Netherlands,NL,259.66,331.52,52.16,49.11,Electricity Maps Estimation
2023-05-13 00:00:00,Netherlands,Netherlands,NL,265.61,338.47,51.04,47.44,Electricity Maps Estimation
2023-05-14 00:00:00,Netherlands,Netherlands,NL,283.85,361.65,47.56,42.92,Electricity Maps Estimation
2023-05-15 00:00:00,Netherlands,Netherlands,NL,247.93,317.38,54.24,50.77,Electricity Maps Estimation
2023-05-16 00:00:00,Netherlands,Netherlands,NL,223.12,286.88,59.73,57.20,Electricity Maps Estimation
2023-05-17 00:00:00,Netherlands,Netherlands,NL,257.59,329.11,52.91,49.69,Electricity Maps Estimation
2023-05-18 00:00:00,Netherlands,Netherlands,NL,280.90,357.66,48.10,44.13,Electricity Maps Estimation
2023-05-19 00:00:00,Netherlands,Netherlands,NL,256.76,328.19,52.76,49.14,Electricity Maps Estimation
2023-05-20 00:00:00,Netherlands,Netherlands,NL,209.62,270.87,62.07,58.66,Electricity Maps Estimation
2023-05-21 00:00:00,Netherlands,Netherlands,NL,225.85,291.19,59.12,54.79,Electricity Maps Estimation
2023-05-22 00:00:00,Netherlands,Netherlands,NL,247.88,318.05,54.44,50.91,Electricity Maps Estimation
2023-05-23 00:00:00,Netherlands,Netherlands,NL,212.62,274.16,61.28,58.73,Electricity Maps Estimation
2023-05-24 00:00:00,Netherlands,Netherlands,NL,281.36,358.02,48.24,44.75,Electricity Maps Estimation
2023-05-25 00:00:00,Netherlands,Netherlands,NL,244.91,313.88,54.92,52.25,Electricity Maps Estimation
2023-05-26 00:00:00,Netherlands,Netherlands,NL,236.17,302.69,56.51,53.80,Electricity Maps Estimation
2023-05-27 00:00:00,Netherlands,Netherlands,NL,271.64,346.46,49.86,45.74,Electricity Maps Estimation
2023-05-28 00:00:00,Netherlands,Netherlands,NL,230.26,295.93,57.55,53.86,Electricity Maps Estimation
2023-05-29 00:00:00,Netherlands,Netherlands,NL,195.36,253.68,64.08,60.57,Electricity Maps Estimation
2023-05-30 00:00:00,Netherlands,Netherlands,NL,229.26,294.98,57.60,53.38,Electricity Maps Estimation
2023-05-31 00:00:00,Netherlands,Netherlands,NL,252.15,322.24,53.48,50.58,Electricity Maps Estimation
2023-06-01 00:00:00,Netherlands,Netherlands,NL,219.07,283.09,59.49,55.70,Electricity Maps Estimation
2023-06-02 00:00:00,Netherlands,Netherlands,NL,227.08,292.86,57.78,52.47,Electricity Maps Estimation
2023-06-03 00:00:00,Netherlands,Netherlands,NL,236.90,304.02,56.33,52.32,Electricity Maps Estimation
2023-06-04 00:00:00,Netherlands,Netherlands,NL,237.85,305.36,56.11,50.95,Electricity Maps Estimation
2023-06-05 00:00:00,Netherlands,Netherlands,NL,218.12,282.54,59.18,53.55,Electricity Maps Estimation
2023-06-06 00:00:00,Netherlands,Netherlands,NL,175.05,231.46,67.02,61.12,Electricity Maps Estimation
2023-06-07 00:00:00,Netherlands,Netherlands,NL,190.64,250.33,64.22,58.62,Electricity Maps Estimation
2023-06-08 00:00:00,Netherlands,Netherlands,NL,150.13,201.92,71.72,66.26,Electricity Maps Estimation
2023-06-09 00:00:00,Netherlands,Netherlands,NL,132.88,181.25,75.35,70.46,Electricity Maps Estimation
2023-06-10 00:00:00,Netherlands,Netherlands,NL,92.12,132.81,83.87,79.27,Electricity Maps Estimation
2023-06-11 00:00:00,Netherlands,Netherlands,NL,120.56,167.20,80.02,75.54,Electricity Maps Estimation
2023-06-12 00:00:00,Netherlands,Netherlands,NL,171.53,227.48,69.51,65.39,Electricity Maps Estimation
2023-06-13 00:00:00,Netherlands,Netherlands,NL,156.01,208.48,71.32,67.55,Electricity Maps Estimation
2023-06-14 00:00:00,Netherlands,Netherlands,NL,175.04,231.50,67.29,62.53,Electricity Maps Estimation
2023-06-15 00:00:00,Netherlands,Netherlands,NL,222.91,289.24,58.92,53.46,Electricity Maps Estimation
2023-06-16 00:00:00,Netherlands,Netherlands,NL,227.39,294.95,58.78,52.64,Electricity Maps Estimation
2023-06-17 00:00:00,Netherlands,Netherlands,NL,208.99,275.15,60.77,51.66,Electricity Maps Estimation
2023-06-18 00:00:00,Netherlands,Netherlands,NL,166.52,224.28,69.45,60.10,Electricity Maps Estimation
2023-06-19 00:00:00,Netherlands,Netherlands,NL,192.13,251.10,65.53,61.23,Electricity Maps Estimation
2023-06-20 00:00:00,Netherlands,Netherlands,NL,227.46,294.72,58.84,53.82,Electricity Maps Estimation
2023-06-21 00:00:00,Netherlands,Netherlands,NL,302.15,381.76,45.04,42.00,Electricity Maps Estimation
2023-06-22 00:00:00,Netherlands,Netherlands,NL,273.68,347.77,50.31,47.31,Electricity Maps Estimation
2023-06-23 00:00:00,Netherlands,Netherlands,NL,206.83,270.14,62.67,56.57,Electricity Maps Estimation
2023-06-24 00:00:00,Netherlands,Netherlands,NL,185.57,246.34,65.93,55.87,Electricity Maps Estimation
2023-06-25 00:00:00,Netherlands,Netherlands,NL,174.45,233.16,67.58,56.55,Electricity Maps Estimation
2023-06-26 00:00:00,Netherlands,Netherlands,NL,121.45,165.93,78.60,74.39,Electricity Maps Estimation
2023-06-27 00:00:00,Netherlands,Netherlands,NL,174.01,230.55,68.37,63.82,Electricity Maps Estimation
2023-06-28 00:00:00,Netherlands,Netherlands,NL,250.56,322.61,54.01,49.63,Electricity Maps Estimation
2023-06-29 00:00:00,Netherlands,Netherlands,NL,236.83,305.82,56.20,51.92,Electricity Maps Estimation
2023-06-30 00:00:00,Netherlands,Netherlands,NL,281.83,358.04,47.94,44.96,Electricity Maps Estimation
2023-07-01 00:00:00,Netherlands,Netherlands,NL,142.52,191.05,73.77,68.51,Electricity Maps Estimation
2023-07-02 00:00:00,Netherlands,Netherlands,NL,66.26,99.76,87.81,83.33,Electricity Maps Estimation
2023-07-03 00:00:00,Netherlands,Netherlands,NL,68.60,102.52,87.41,83.16,Electricity Maps Estimation
2023-07-04 00:00:00,Netherlands,Netherlands,NL,210.68,272.48,61.30,57.49,Electricity Maps Estimation
2023-07-05 00:00:00,Netherlands,Netherlands,NL,201.13,260.16,63.43,60.72,Electricity Maps Estimation
2023-07-06 00:00:00,Netherlands,Netherlands,NL,180.90,239.47,66.28,59.92,Electricity Maps Estimation
2023-07-07 00:00:00,Netherlands,Netherlands,NL,278.93,355.48,48.34,43.41,Electricity Maps Estimation
2023-07-08 00:00:00,Netherlands,Netherlands,NL,179.53,237.82,68.08,62.02,Electricity Maps Estimation
2023-07-09 00:00:00,Netherlands,Netherlands,NL,270.17,345.43,50.99,44.97,Electricity Maps Estimation
2023-07-10 00:00:00,Netherlands,Netherlands,NL,291.32,370.31,45.77,41.16,Electricity Maps Estimation
2023-07-11 00:00:00,Netherlands,Netherlands,NL,255.59,326.55,52.62,49.09,Electricity Maps Estimation
2023-07-12 00:00:00,Netherlands,Netherlands,NL,212.87,274.80,60.62,57.70,Electricity Maps Estimation
2023-07-13 00:00:00,Netherlands,Netherlands,NL,166.21,220.78,69.06,64.97,Electricity Maps Estimation
2023-07-14 00:00:00,Netherlands,Netherlands,NL,176.63,234.41,66.91,60.64,Electricity Maps Estimation
2023-07-15 00:00:00,Netherlands,Netherlands,NL,167.16,219.93,69.31,65.63,Electricity Maps Estimation
2023-07-16 00:00:00,Netherlands,Netherlands,NL,171.82,224.93,68.35,65.34,Electricity Maps Estimation
2023-07-17 00:00:00,Netherlands,Netherlands,NL,205.24,265.46,62.24,58.92,Electricity Maps Estimation
2023-07-18 00:00:00,Netherlands,Netherlands,NL,233.75,303.11,56.45,50.66,Electricity Maps Estimation
2023-07-19 00:00:00,Netherlands,Netherlands,NL,230.54,299.28,56.91,51.53,Electricity Maps Estimation
2023-07-20 00:00:00,Netherlands,Netherlands,NL,312.51,396.24,42.06,38.46,Electricity Maps Estimation
2023-07-21 00:00:00,Netherlands,Netherlands,NL,282.38,359.23,47.60,43.70,Electricity Maps Estimation
2023-07-22 00:00:00,Netherlands,Netherlands,NL,104.69,147.86,80.63,73.21,Electricity Maps Estimation
2023-07-23 00:00:00,Netherlands,Netherlands,NL,149.67,198.80,72.44,68.73,Electricity Maps Estimation
2023-07-24 00:00:00,Netherlands,Netherlands,NL,239.54,307.76,55.74,52.08,Electricity Maps Estimation
2023-07-25 00:00:00,Netherlands,Netherlands,NL,268.30,341.99,50.56,47.52,Electricity Maps Estimation
2023-07-26 00:00:00,Netherlands,Netherlands,NL,263.24,335.99,51.39,48.37,Electricity Maps Estimation
2023-07-27 00:00:00,Netherlands,Netherlands,NL,125.27,171.15,76.80,71.79,Electricity Maps Estimation
2023-07-28 00:00:00,Netherlands,Netherlands,NL,270.65,344.73,49.87,46.52,Electricity Maps Estimation
2023-07-29 00:00:00,Netherlands,Netherlands,NL,207.28,268.54,61.70,57.88,Electricity Maps Estimation
2023-07-30 00:00:00,Netherlands,Netherlands,NL,52.82,83.63,90.39,85.12,Electricity Maps Estimation
2023-07-31 00:00:00,Netherlands,Netherlands,NL,154.35,204.49,71.51,66.72,Electricity Maps Estimation
2023-08-01 00:00:00,Netherlands,Netherlands,NL,191.76,249.46,64.67,60.30,Electricity Maps Estimation
2023-08-02 00:00:00,Netherlands,Netherlands,NL,156.18,206.96,71.14,65.02,Electricity Maps Estimation
2023-08-03 00:00:00,Netherlands,Netherlands,NL,72.75,108.05,86.93,80.72,Electricity Maps Estimation
2023-08-04 00:00:00,Netherlands,Netherlands,NL,266.93,340.79,50.48,45.82,Electricity Maps Estimation
2023-08-05 00:00:00,Netherlands,Netherlands,NL,232.59,299.74,56.68,48.50,Electricity Maps Estimation
2023-08-06 00:00:00,Netherlands,Netherlands,NL,78.16,115.19,85.76,76.10,Electricity Maps Estimation
2023-08-07 00:00:00,Netherlands,Netherlands,NL,185.43,241.18,66.78,64.32,Electricity Maps Estimation
2023-08-08 00:00:00,Netherlands,Netherlands,NL,203.79,263.33,63.14,60.43,Electricity Maps Estimation
2023-08-09 00:00:00,Netherlands,Netherlands,NL,266.31,339.65,50.91,46.57,Electricity Maps Estimation
2023-08-10 00:00:00,Netherlands,Netherlands,NL,222.69,291.30,58.14,49.39,Electricity Maps Estimation
2023-08-11 00:00:00,Netherlands,Netherlands,NL,196.41,257.81,63.39,56.77,Electricity Maps Estimation
2023-08-12 00:00:00,Netherlands,Netherlands,NL,230.72,296.72,57.49,52.63,Electricity Maps Estimation
2023-08-13 00:00:00,Netherlands,Netherlands,NL,224.74,289.64,58.43,53.81,Electricity Maps Estimation
2023-08-14 00:00:00,Netherlands,Netherlands,NL,219.84,286.77,58.81,51.59,Electricity Maps Estimation
2023-08-15 00:00:00,Netherlands,Netherlands,NL,281.31,357.77,48.07,43.37,Electricity Maps Estimation
2023-08-16 00:00:00,Netherlands,Netherlands,NL,303.23,383.92,43.89,40.59,Electricity Maps Estimation
2023-08-17 00:00:00,Netherlands,Netherlands,NL,205.29,267.29,61.62,56.66,Electricity Maps Estimation
2023-08-18 00:00:00,Netherlands,Netherlands,NL,216.77,282.18,59.83,54.17,Electricity Maps Estimation
2023-08-19 00:00:00,Netherlands,Netherlands,NL,244.83,314.09,54.81,50.71,Electricity Maps Estimation
2023-08-20 00:00:00,Netherlands,Netherlands,NL,317.43,401.49,41.27,37.23,Electricity Maps Estimation
2023-08-21 00:00:00,Netherlands,Netherlands,NL,333.71,420.70,38.26,34.77,Electricity Maps Estimation
